key,label,patternCount,outcome,distance,states,edges,wins,losses,draws,drawPercent,terminals,stalemates,maximumDistance,winnerTurns,uniqueWinningChoices,winningChoiceFraction
proper/original,Original family game,20,win,89,5527111,84458408,3181193,1016545,1329373,24.051860004259005,18220,0,108,45,10,0.2989967040947433
proper/only-K,Only squares,4,draw,,5541717,84879568,217586,18210,5305921,95.74507323271831,3680,0,9,0,0,
proper/only-C,Only crowns,4,draw,,5541783,84879048,261540,19766,5260477,94.92390806352395,3636,0,9,0,0,
proper/only-KC,Only squares + crowns,8,draw,,5538079,84774200,474114,40456,5023509,90.70851101979585,7308,0,19,0,0,
proper/only-S,Only axes,4,draw,,5541729,84879240,277138,19594,5244997,94.64549782206961,3680,0,11,0,0,
proper/only-KS,Only squares + axes,8,draw,,5538025,84774392,511962,44180,4981883,89.95775569810537,7344,0,15,0,0,
proper/only-CS,Only crowns + axes,8,draw,,5538091,84773872,651876,60906,4825309,87.12946392538512,7308,0,21,0,0,
proper/only-KCS,Only squares + crowns + axes,12,draw,,5534387,84669120,886302,95436,4552649,82.26112485447801,10964,0,25,0,0,
proper/only-D,Only diagonals,8,draw,,5538145,84773680,524216,38352,4975577,89.84194166097132,7264,0,23,0,0,
proper/only-KD,Only squares + diagonals,12,draw,,5534441,84668736,950566,99020,4484855,81.0353746656618,10944,0,19,0,0,
proper/only-CD,Only crowns + diagonals,12,draw,,5534507,84668336,997834,111918,4424755,79.94849405737494,10892,0,25,0,0,
proper/only-KCD,Only squares + crowns + diagonals,16,draw,,5530803,84563488,1553978,241118,3735707,67.54366409362257,14564,0,47,0,0,
proper/only-SD,Only axes + diagonals,12,draw,,5534453,84668408,842058,76698,4615697,83.39933503816908,10944,0,41,0,0,
proper/only-KSD,Only squares + axes + diagonals,16,draw,,5530749,84563560,1809488,336760,3384501,61.1942613920827,14608,0,39,0,0,
proper/only-CSD,Only crowns + axes + diagonals,16,draw,,5530815,84563160,3652110,1408948,469757,8.493449880352172,14564,0,76,0,0,
proper/add-four-crowns,Add the other four crowns,24,win,45,5523473,84353448,3285579,1064612,1173282,21.241744098323647,21816,0,60,23,5,0.3797058716697968
proper/add-boxes,Add adjacent radial pairs,28,win,87,5519835,84264360,3244321,1033551,1241963,22.500002264560443,25420,0,101,44,10,0.2818941099320356
proper/add-inner-arcs,Add four consecutive inner points,28,win,19,5519875,84237504,3715861,1477368,326646,5.917634004393215,25444,0,41,10,1,0.4108928571428571
proper/add-outer-arcs,Add four consecutive outer points,28,draw,,5519835,84259552,2722204,694102,2103529,38.10854853451235,25460,0,47,0,0,
proper/add-both-arcs,Add four consecutive points on either ring,36,win,19,5512599,84039544,3774281,1473446,264872,4.804847949215969,32620,0,43,10,1,0.39749999999999996
proper/add-opposite-pairs,Add any two opposite pairs,40,win,15,5508651,83927040,3746645,1613470,148536,2.6964133324111477,36244,0,37,8,0,0.591186683006536
